,,alpha,beta,date,depth,diff,err_dir,err_mag,err_u,err_v,filename,lat,lon,mat_times,mean_diff,num,obs_speed,sdev_diff,sim_speed,start,stop,tide,u_diff,u_obs_speed,u_sim_speed,uobs,usim,vobs,vsim,wind_speed
PP_F_20140812_78_K_008_N02,0,0.19701979313,0.983606557377,2014_Aug_12_3D,-19.3675270629,-0.705551851713,68.4571853988,0.708774517939,-0.260259440215,-0.659261966944,PP_F_20140812_78_K_008_N02,44.3832586426,-66.210343237,735823.508333,,25,1.52384487685,,0.818293025141,211,228,flood,-0.705551851713,1.52384487685,0.818293025141,0.459297223802,0.199037783587,1.45297944546,0.793717478514,N02
PP_F_20140812_78_K_008_N02,1,0.198391812946,0.983606557377,2014_Aug_12_3D,-10.4002217486,-0.408473957791,-72.5290626614,0.423357731672,0.127101304191,-0.403827967629,PP_F_20140812_78_K_008_N02,44.3840012792,-66.2103643175,735823.509028,,25,1.90470817153,,1.49623421374,211,228,flood,-0.408473957791,1.90470817153,1.49623421374,-0.133127941277,-0.00602663708562,1.90005004406,1.49622207643,N02
PP_F_20140812_78_K_008_N02,2,0.199718848525,0.983606557377,2014_Aug_12_3D,-15.2269266293,-0.802163010676,-89.4924174732,0.803161982116,0.00711510794256,-0.803130465588,PP_F_20140812_78_K_008_N02,44.3852057168,-66.2102180114,735823.509722,,25,2.52725245527,,1.72508944459,211,228,flood,-0.802163010676,2.52725245527,1.72508944459,-0.126468942137,-0.119353834194,2.52408608794,1.72095562235,N02
PP_F_20140812_78_K_008_N02,3,0.20106837611,0.983606557377,2014_Aug_12_3D,-12.7164360999,-0.776228514519,-77.6432437832,0.823149854493,0.176152526436,-0.804080823289,PP_F_20140812_78_K_008_N02,44.3864415027,-66.2101911055,735823.510417,,25,2.35127908668,,1.57505057217,211,228,flood,-0.776228514519,2.35127908668,1.57505057217,0.139778511464,0.3159310379,2.34712064266,1.54303981937,N02
PP_F_20140812_78_K_008_N02,4,0.202440395927,0.983606557377,2014_Aug_12_3D,-7.29313267221,-0.356830036266,-41.7634309468,0.745771592382,0.556271972234,-0.496726042111,PP_F_20140812_78_K_008_N02,44.3876499636,-66.210001423,735823.511111,,25,2.497717866,,2.14088782973,211,228,flood,-0.356830036266,2.497717866,2.14088782973,0.232959376254,0.789231348488,2.48683020473,1.99010416261,N02
PP_F_20140812_78_K_008_N02,5,0.203767431506,0.983606557377,2014_Aug_12_3D,-7.36413089629,-0.405040818745,78.5789314564,0.405176175273,-0.0802320899249,-0.397153049535,PP_F_20140812_78_K_008_N02,44.3892105902,-66.2095891591,735823.511806,,25,3.13086152524,,2.7258207065,211,228,flood,-0.405040818745,3.13086152524,2.7258207065,0.545775986586,0.465543896661,3.08292433619,2.68577128666,N02
PP_F_20140812_78_K_008_N02,6,0.205116959091,0.983606557377,2014_Aug_12_3D,-8.97790958869,-0.575991489127,-63.90573736,0.799939779326,0.351852906318,-0.718403217464,PP_F_20140812_78_K_008_N02,44.3907926325,-66.2092366582,735823.5125,,25,3.07062707788,,2.49463558875,211,228,flood,-0.575991489127,3.07062707788,2.49463558875,0.658906856185,1.0107597625,2.99909859896,2.28069538149,N02
PP_F_20140812_78_K_008_N02,7,0.206488978907,0.983606557377,2014_Aug_12_3D,-15.6158828986,-0.384003508807,77.9661270316,0.3901467321,-0.0813416649632,-0.381573067851,PP_F_20140812_78_K_008_N02,44.3922919035,-66.2088719616,735823.513194,,25,2.38705942385,,2.00305591505,211,228,flood,-0.384003508807,2.38705942385,2.00305591505,0.113142723325,0.0318010583617,2.38437652588,2.00280345803,N02
PP_F_20140812_78_K_008_N02,8,0.207816014486,0.983606557377,2014_Aug_12_3D,-24.1486285667,0.47041559057,68.8028014372,0.498159328664,0.180123944092,0.464454606501,PP_F_20140812_78_K_008_N02,44.3933434971,-66.2086269166,735823.513889,,25,2.25398093462,,2.72439652519,211,228,flood,0.47041559057,2.25398093462,2.72439652519,1.38016526846e-16,0.180123944092,2.25398093462,2.71843554112,N02
PP_F_20140812_78_K_008_N02,9,0.209165542071,0.983606557377,2014_Aug_12_3D,-35.8109134981,-0.339888167918,74.7308200175,0.352160302737,-0.0927428828186,-0.339728769036,PP_F_20140812_78_K_008_N02,44.3946512416,-66.2082671653,735823.514583,,25,3.46520618025,,3.12531801233,211,228,flood,-0.339888167918,3.46520618025,3.12531801233,0.0532414880054,-0.0395013948132,3.46479713917,3.12506837013,N02
